proyecto_id,fecha,autor,categoria,metodo_match,diputado_id,fuente_mandato,bloque,familia,distrito,region,presidencia,gobierno,tipo,dominio,orientacion,saliencia
HCDN205429,2017-09-18,"ISA, EVITA NELIDA",diputado,exacto_vigente,HCDN1392,hcdn,JUSTICIALISTA,peronismo_federal,SALTA,NOA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN205599,2017-09-27,"ALEGRE, GILBERTO OSCAR",diputado,exacto_vigente,HCDN1338,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN211605,2018-02-21,"MERCADO, VERONICA",diputado,exacto_vigente,HCDN1470,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,CATAMARCA,NOA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN211972,2018-03-06,"SORIA, MARIA EMILIA",diputado,exacto_vigente,HCDN1390,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,RIO NEGRO,PATAGONIA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN211995,2018-03-06,"BIANCHI, IVANA MARIA",diputado,exacto_vigente,HCDN0964,hcdn,UNIDAD JUSTICIALISTA,peronismo_federal,SAN LUIS,CUYO,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN212222,2018-03-08,"CARRIO, ELISA MARIA AVELINA",diputado,exacto_vigente,HCDN0079,hcdn,COALICION CIVICA,cc_ari,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,LEY,C,administrativa_neutra,relacionada
HCDN213062,2018-03-22,"ZAMARBIDE, FEDERICO RAUL",diputado,exacto_vigente,HCDN2387,hcdn,UCR,ucr,MENDOZA,CUYO,macri_2015_2019,si,LEY,D,administrativa_neutra,relacionada
HCDN213317,2018-04-04,"DONDA PEREZ, VICTORIA ANALIA",diputado,exacto_vigente,HCDN1073,hcdn,LIBRES DEL SUR,izquierda_progresista,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN214784,2018-05-04,"HUSS, JUAN MANUEL",diputado,exacto_vigente,HCDN1522,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,ENTRE RIOS,PAMPEANA,macri_2015_2019,no,DECLARACION,A,proteccionista_defensiva,explicita
HCDN217938,2018-06-12,"MACRI, MAURICIO",ejecutivo,,,,,,,,macri_2015_2019,,MENSAJE Y PROYECTO DE LEY,C,pro_liberalizacion,relacionada
HCDN219257,2018-07-12,"BIANCHI, IVANA MARIA",diputado,exacto_vigente,HCDN0964,hcdn,UNIDAD JUSTICIALISTA,peronismo_federal,SAN LUIS,CUYO,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN219343,2018-07-13,"RISTA, OLGA MARIA",diputado,exacto_vigente,HCDN1510,hcdn,UCR,ucr,CORDOBA,PAMPEANA,macri_2015_2019,si,LEY,C,administrativa_neutra,relacionada
HCDN220013,2018-08-03,"IGLESIAS, FERNANDO ADOLFO",diputado,exacto_vigente,HCDN1031,hcdn,PRO,pro,CIUDAD DE BUENOS AIRES,CABA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN220111,2018-08-07,"BIANCHI, IVANA MARIA",diputado,exacto_vigente,HCDN0964,hcdn,UNIDAD JUSTICIALISTA,peronismo_federal,SAN LUIS,CUYO,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN220959,2018-08-24,"DERNA, VERONICA",diputado,exacto_vigente,HCDN2438,hcdn,FRENTE DE LA CONCORDIA MISIONERO,provinciales,MISIONES,NEA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN221977,2018-09-04,"MACRI, MAURICIO",ejecutivo,,,,,,,,macri_2015_2019,,MENSAJE Y PROYECTO DE LEY,C,pro_liberalizacion,relacionada
HCDN221790,2018-09-12,"SELVA, CARLOS AMERICO",diputado,exacto_vigente,HCDN1459,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN225245,2018-11-21,"VAZQUEZ, JUAN BENEDICTO",diputado,exacto_vigente,HCDN2425,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,SANTA CRUZ,PATAGONIA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN225488,2018-11-28,"MENDOZA, JOSEFINA",diputado,exacto_vigente,HCDN2433,hcdn,UCR,ucr,BUENOS AIRES,PAMPEANA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN225849,2018-12-10,"DOÑATE, CLAUDIO MARTIN",diputado,exacto_vigente,HCDN1483,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,RIO NEGRO,PATAGONIA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN227787,2019-02-12,"CONTIGIANI, LUIS GUSTAVO",diputado,exacto_vigente,HCDN2369,hcdn,FRENTE PROGRESISTA CIVICO Y SOCIAL,izquierda_progresista,SANTA FE,PAMPEANA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN228132,2019-03-07,"SORIA, MARIA EMILIA",diputado,exacto_vigente,HCDN1390,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,RIO NEGRO,PATAGONIA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN228169,2019-03-07,"CONTIGIANI, LUIS GUSTAVO",diputado,exacto_vigente,HCDN2369,hcdn,FRENTE PROGRESISTA CIVICO Y SOCIAL,izquierda_progresista,SANTA FE,PAMPEANA,macri_2015_2019,no,RESOLUCION,D,administrativa_neutra,relacionada
HCDN229905,2019-03-21,"NAZARIO, ADRIANA MONICA",diputado,exacto_vigente,HCDN1516,hcdn,CORDOBA FEDERAL,peronismo_federal,CORDOBA,PAMPEANA,macri_2015_2019,no,LEY,D,administrativa_neutra,relacionada
HCDN230464,2019-03-28,"LOSPENNATO, SILVIA GABRIELA",diputado,fallback_vigente,HCDN1439,hcdn,PRO,pro,BUENOS AIRES,PAMPEANA,macri_2015_2019,si,LEY,C,administrativa_neutra,relacionada
HCDN231767,2019-04-23,"CARMONA, GUILLERMO RAMON",diputado,exacto_vigente,HCDN1247,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,MENDOZA,CUYO,macri_2015_2019,no,RESOLUCION,C,administrativa_neutra,relacionada
HCDN231932,2019-04-29,"DI STEFANO, DANIEL",diputado,exacto_vigente,HCDN1481,hcdn,FRENTE DE LA CONCORDIA MISIONERO,provinciales,MISIONES,NEA,macri_2015_2019,no,DECLARACION,C,administrativa_neutra,relacionada
HCDN232507,2019-05-15,"GAYOL, YANINA CELESTE",diputado,exacto_vigente,HCDN1521,hcdn,PRO,pro,ENTRE RIOS,PAMPEANA,macri_2015_2019,si,RESOLUCION,B,pro_liberalizacion,relacionada
HCDN232897,2019-05-28,"SCAGLIA, GISELA",diputado,exacto_vigente,HCDN1404,hcdn,PRO,pro,SANTA FE,PAMPEANA,macri_2015_2019,si,RESOLUCION,C,administrativa_neutra,relacionada
HCDN233773,2019-06-28,"FERNANDEZ LANGAN, EZEQUIEL",diputado,exacto_vigente,HCDN2375,hcdn,PRO,pro,BUENOS AIRES,PAMPEANA,macri_2015_2019,si,DECLARACION,A,pro_liberalizacion,explicita
HCDN233831,2019-07-02,"VALLEJOS, FERNANDA",diputado,exacto_vigente,HCDN2424,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN233839,2019-07-02,"CORREA, WALTER",diputado,exacto_vigente,HCDN2370,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,DECLARACION,A,proteccionista_defensiva,explicita
HCDN233850,2019-07-03,"ESPINOZA, FERNANDO",diputado,exacto_vigente,HCDN2430,hcdn,FRENTE PARA LA VICTORIA - PJ,kirchnerismo,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN234113,2019-07-11,"DE MENDIGUREN, JOSE IGNACIO",diputado,exacto_vigente,HCDN0668,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
HCDN234288,2019-07-18,"DE MENDIGUREN, JOSE IGNACIO",diputado,exacto_vigente,HCDN0668,hcdn,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,peronismo_federal,BUENOS AIRES,PAMPEANA,macri_2015_2019,no,RESOLUCION,A,administrativa_neutra,explicita
