proyecto_id,anio,tipo,dominio,marco,titulo
HCDN111486,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 68/10 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DIRECTIVA 13 DEL 21 DE JULIO DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR (CCM), Y SU CORRESPONDIENTE FE DE ERRATAS."
HCDN112186,2010,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO NACIONAL DISPONGA REALIZAR LAS GESTIONES NECESARIAS PARA INCLUIR EN LA AGENDA DEL PARLAMENTO DEL MERCOSUR, LA CREACION DE UN FORO REGIONAL CON EL OBJETO DE ANALIZAR LA PROBLEMATICA DEL ANTISEMITISMO EN EL MERCOSUR."
HCDN112458,2010,RESOLUCION,B,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA ANALIZAR Y RECONSIDERAR LA SUSPENSION DEL LIMITE DE LA CUOTA HILTON A LA ""FEDERACION CHAQUEÑA DE SOCIEDADES RURALES -FECHASORU-"", Y EXTENDER A TODO EL PAIS DE LA CUOTA HILTON."
HCDN112513,2010,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA INCLUIR EN LA AGENDA DEL PARLAMENTO DEL MERCOSUR LA CREACION DE UN FORO REGIONAL CON EL OBJETO DE ANALIZAR LA PROBLEMATICA DEL ""ANTISEMITISMO EN EL MERCOSUR""."
HCDN114255,2010,DECLARACION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA ESTABLECER ACCIONES CONJUNTAS ENTRE LOS ESTADOS PARTES DEL MERCOSUR Y EL GOBIERNO DE LA REPUBLICA DE BOLIVIA, PARA LA LUCHA CONTRA EL MOSQUITO AEDES AEGYPTI."
HCDN114567,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 500/2010, DICTADO EN USO DE FACULTADES DELEGADAS POR EL CUAL SE MODIFICA EL DECRETO 509/07 Y SUS MODIFICACIONES, SOBRE NOMENCLATURA COMUN DEL MERCOSUR."
HCDN115114,2010,DECLARACION,C,externo,SOLICITAR LA CREACION DE LA COMISION ESPECIAL DE COOPERACION E INTEGRACION TRANSFRONTERIZA EN EL SENO DEL PARLAMENTO DEL MERCOSUR.
HCDN115146,2010,RESOLUCION,C,externo,"SOLICITAR AL PODER EJECUTIVO DISPONGA IMPULSAR UNA MAYOR VINCULACION ENTRE EL ""FORO CONSULTIVO DE MUNICIPIOS ESTADOS FEDERADOS, PROVINCIAS Y DEPARTAMENTOS DEL MERCOSUR - FCCR -"" Y EL ""FONDO PARA LA CONVERGENCIA ESTRUCTURAL DEL MERCOSUR - FOCEM -""."
HCDN115165,2010,RESOLUCION,C,externo,"DECLARAR DE INTERES DE LA H. CAMARA LA REUNION ESPECIALIZADA DE LA MUJER DEL MERCOSUR (REM), A REALIZARSE DEL 2 AL 4 DE JUNIO DE 2010 EN LA CIUDAD AUTONOMA DE BUENOS AIRES."
HCDN115179,2010,LEY,B,externo,DISTRIBUCION DE LA CUOTA HILTON. CREACION DE LA COMISION FEDERAL DE ADJUDICACION.
HCDN116240,2010,RESOLUCION,C,externo,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LAS MEDIDAS ADOPTADAS CON EL FIN DE IMPLEMENTAR EL ""SISTEMA DE INTERCAMBIO DE INFORMACION DE SEGURIDAD DEL MERCOSUR, SISME"", Y OTRAS CUESTIONES CONEXAS."
HCDN116114,2010,DECLARACION,A,ue_otro,"EXPRESAR PREOCUPACION POR LA DECISION DE LA COMISION DE ASUNTOS EUROPEOS DE LA ASAMBLEA NACIONAL DE FRANCIA DE EXPRESAR UNA ""OPINION DESFAVORABLE"" RESPECTO AL DESCONGELAMIENTO DE LAS NEGOCIACIONES ENTRE LA UNION EUROPEA Y LOS PAISES MIEMBROS DEL MERCOSUR PARA LA CONCLUSION DE UN ACUERDO DE LIBRE COMERCIO."
HCDN116344,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 646/10 POR EL CUAL SE ADOPTAN LA DISPOSICIONES DE LA DIRECTIVA 17 DEL 4 DE SETIEMBRE DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR (CCM), SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE PLANCHAS DE FOTOPOLIMEROS."
HCDN116345,2010,MENSAJE,C,externo,"COMUNICACION DEL DECRETO 656/10 POR EL CUAL SE ADOPTAN LAS DISPOSICIONES DE LA DIRECTIVA 16 DEL 4 DE SETIEMBRE DE 2009 DE LA COMISION DE COMERCIO DEL MERCOSUR (CCM), SOBRE TRATAMIENTO ARANCELARIO PARA LA IMPORTACION DE ACETATO DE VINILO."
